object,yuka_1,9350,690,-2.5,17.5,2,9347.5,707.5,275,55,
object,yuka_1,9590,690,-2.5,17.5,2,9587.5,707.5,275,55,
object,yuka_1,9830,690,-2.5,17.5,2,9827.5,707.5,275,55,
object,yuka_1,10070,690,2.5,17.5,2,10072.5,707.5,265,55,
object,yuka_1,10310,690,-2.5,17.5,2,10307.5,707.5,275,55,
object,yuka_1,10430,690,2.5,17.5,2,10432.5,707.5,275,55,
object,yuka_1,10710,510,-5,120,2,10705,630,290,260,
object,yuka_1,10950,510,2.5,17.5,2,10952.5,527.5,265,55,
object,yuka_1,11190,510,-2.5,17.5,2,11187.5,527.5,275,55,
object,yuka_1,11430,510,-2.5,17.5,2,11427.5,527.5,275,55,
object,yuka_1,11660,510,7.5,17.5,2,11667.5,527.5,255,55,
object,yuka_1,11900,510,2.5,17.5,2,11902.5,527.5,265,55,
object,yuka_1,12130,510,-2.5,17.5,2,12127.5,527.5,275,55,
object,yuka_1,12370,510,-20,120,2,12350,630,240,260,
object,yuka_1,12720,600,-7.5,15,2,12712.5,615,285,50,
object,yuka_1,12960,600,-2.5,17.5,2,12957.5,617.5,275,55,
object,yuka_1,13200,600,-2.5,17.5,2,13197.5,617.5,275,55,
object,kaidann_1,12530,550,0,-5,4,2,12470,500,12590,590
object,yuka_1,13400,600,-2.5,17.5,2,13397.5,617.5,275,55,
object,yuka_1,13630,600,-15,17.5,2,13615,617.5,230,55,
object,yuka_1,13960,690,2.5,17.5,2,13962.5,707.5,265,55,
object,yuka_1,14200,690,-2.5,17.5,2,14197.5,707.5,275,55,
object,kaidann_1,13790,640,5,-5,4,2,13730,590,13860,680
object,yuka_1,14430,690,-2.5,17.5,2,14427.5,707.5,275,55,
object,yuka_1,14650,690,-2.5,17.5,2,14647.5,707.5,275,55,
object,yuka_1,14880,690,-2.5,17.5,2,14877.5,707.5,275,55,
object,yuka_1,15060,690,-2.5,17.5,2,15057.5,707.5,275,55,
object,yuka_1,15300,690,2.5,17.5,2,15302.5,707.5,265,55,
object,kaidann_2,620,590,0,-50,4,2,520,640,720,440
